x,y,z,Cmoy
-60.0,-60.0,5.0,30.756287209100748
-56.0,-60.0,5.0,30.438466010325982
-52.0,-60.0,5.0,30.178479791858514
-48.0,-60.0,5.0,29.928452551125098
-44.0,-60.0,5.0,29.690718940898037
-40.0,-60.0,5.0,29.472077684510246
-36.0,-60.0,5.0,29.23842277682096
-32.0,-60.0,5.0,29.053054459154644
-28.0,-60.0,5.0,28.89010586184612
-24.0,-60.0,5.0,28.69594615440712
-20.0,-60.0,5.0,28.547779614680657
-16.0,-60.0,5.0,28.385165254287173
-12.0,-60.0,5.0,28.2579252817169
-8.0,-60.0,5.0,28.15674543084072
8.0,-60.0,5.0,27.78838707824382
12.0,-60.0,5.0,27.537480423532827
16.0,-60.0,5.0,27.40299546837947
20.0,-60.0,5.0,27.29959317858537
24.0,-60.0,5.0,27.2234911813688
28.0,-60.0,5.0,27.15535832895075
32.0,-60.0,5.0,27.06301692475725
36.0,-60.0,5.0,26.918668722717282
40.0,-60.0,5.0,26.768814914887244
-60.0,-56.0,5.0,31.26747016313542
-56.0,-56.0,5.0,30.920050270601212
-52.0,-56.0,5.0,30.64391167836849
-48.0,-56.0,5.0,30.321240609580812
-44.0,-56.0,5.0,30.074207316035213
-40.0,-56.0,5.0,29.835130101578194
-36.0,-56.0,5.0,29.59431937637534
-32.0,-56.0,5.0,29.39065957681319
-28.0,-56.0,5.0,29.186865286750198
-24.0,-56.0,5.0,28.986392134777297
-20.0,-56.0,5.0,28.80205950396267
-16.0,-56.0,5.0,28.639992029766262
-12.0,-56.0,5.0,28.477321548114173
-8.0,-56.0,5.0,28.312666337699667
-4.0,-56.0,5.0,28.28016330608884
0.0,-56.0,5.0,28.147882069443632
4.0,-56.0,5.0,27.988863940160588
8.0,-56.0,5.0,27.79847074201407
12.0,-56.0,5.0,27.69948184943481
16.0,-56.0,5.0,27.593419481997504
20.0,-56.0,5.0,27.502468246800817
24.0,-56.0,5.0,27.43749551541948
28.0,-56.0,5.0,27.369265033072722
32.0,-56.0,5.0,27.24304130103823
36.0,-56.0,5.0,27.112503454212657
40.0,-56.0,5.0,26.96182873043511
-60.0,-52.0,5.0,31.820905411121423
-56.0,-52.0,5.0,31.467483640118452
-52.0,-52.0,5.0,31.126368743327312
-48.0,-52.0,5.0,30.78376271392912
-44.0,-52.0,5.0,30.531582196457627
-40.0,-52.0,5.0,30.235323424614997
-36.0,-52.0,5.0,29.99010793880481
-32.0,-52.0,5.0,29.76169290302509
-28.0,-52.0,5.0,29.506705085117794
-24.0,-52.0,5.0,29.32505603613445
-20.0,-52.0,5.0,29.102772829015777
-16.0,-52.0,5.0,28.923195602591626
-12.0,-52.0,5.0,28.747822842535786
