x,y,z,Cmoy
-60.0,-60.0,5.0,42.111047315492044
-56.0,-60.0,5.0,41.67146059519499
-52.0,-60.0,5.0,41.31186693203114
-48.0,-60.0,5.0,40.966047788554775
-44.0,-60.0,5.0,40.63723228339977
-40.0,-60.0,5.0,40.33482390665318
-36.0,-60.0,5.0,40.01164976047159
-32.0,-60.0,5.0,39.755262045857044
-28.0,-60.0,5.0,39.52988362634318
-24.0,-60.0,5.0,39.26133631314955
-20.0,-60.0,5.0,39.056403339807275
-16.0,-60.0,5.0,38.83148721201545
-12.0,-60.0,5.0,38.655498314961136
-8.0,-60.0,5.0,38.51555384625272
8.0,-60.0,5.0,38.00606788138841
12.0,-60.0,5.0,37.65903239769409
16.0,-60.0,5.0,37.47302277784159
20.0,-60.0,5.0,37.330004396383636
24.0,-60.0,5.0,37.224745755696816
28.0,-60.0,5.0,37.13050944529841
32.0,-60.0,5.0,37.002789660798406
36.0,-60.0,5.0,36.80313792906954
40.0,-60.0,5.0,36.59587125157295
-60.0,-56.0,5.0,42.81807768068523
-56.0,-56.0,5.0,42.33755224149545
-52.0,-56.0,5.0,41.95561781240455
-48.0,-56.0,5.0,41.50932311145341
-44.0,-56.0,5.0,41.16764497376931
-40.0,-56.0,5.0,40.836971094852274
-36.0,-56.0,5.0,40.503899552386365
-32.0,-56.0,5.0,40.222212416062504
-28.0,-56.0,5.0,39.940339262448404
-24.0,-56.0,5.0,39.663059660826136
-20.0,-56.0,5.0,39.408104431483636
-16.0,-56.0,5.0,39.18394471613591
-12.0,-56.0,5.0,38.958950965579774
-8.0,-56.0,5.0,38.73121208533841
-4.0,-56.0,5.0,38.68625630164432
0.0,-56.0,5.0,38.50329470185841
4.0,-56.0,5.0,38.28335261433
8.0,-56.0,5.0,38.0200148575575
12.0,-56.0,5.0,37.8831007599375
16.0,-56.0,5.0,37.73640315628977
20.0,-56.0,5.0,37.610606150485225
24.0,-56.0,5.0,37.5207406852275
28.0,-56.0,5.0,37.426369340349545
32.0,-56.0,5.0,37.251786031864775
36.0,-56.0,5.0,37.07123575963023
40.0,-56.0,5.0,36.86283365205409
-60.0,-52.0,5.0,43.583548286475
-56.0,-52.0,5.0,43.09472149393977
-52.0,-52.0,5.0,42.6229166574375
-48.0,-52.0,5.0,42.14904939685909
-44.0,-52.0,5.0,41.80025200063295
-40.0,-52.0,5.0,41.390488830726134
-36.0,-52.0,5.0,41.051324949937495
-32.0,-52.0,5.0,40.73539820612046
-28.0,-52.0,5.0,40.382717960052275
-24.0,-52.0,5.0,40.13147446215
-20.0,-52.0,5.0,39.82402880915045
-16.0,-52.0,5.0,39.57565090261636
-12.0,-52.0,5.0,39.333088302262496
-8.0,-52.0,5.0,39.08315284716545
-4.0,-52.0,5.0,38.89947615673227
0.0,-52.0,5.0,38.70904086673159
4.0,-52.0,5.0,38.52589895592614
8.0,-52.0,5.0,38.363445349043864
12.0,-52.0,5.0,38.20366420387091
16.0,-52.0,5.0,38.04341001612886
20.0,-52.0,5.0,37.88413205101704
24.0,-52.0,5.0,37.80465919017614
