x,y,z,Cmoy
-60.0,-60.0,5.0,21.97445208285568
-56.0,-60.0,5.0,21.939083036395
-52.0,-60.0,5.0,21.910150212922044
-48.0,-60.0,5.0,21.882325684136593
-44.0,-60.0,5.0,21.855869264181592
-40.0,-60.0,5.0,21.831537555707726
-36.0,-60.0,5.0,21.805535038198865
-32.0,-60.0,5.0,21.78490614162068
-28.0,-60.0,5.0,21.76677224579773
-24.0,-60.0,5.0,21.74516499071318
-20.0,-60.0,5.0,21.72867613078909
-16.0,-60.0,5.0,21.71057943085182
-12.0,-60.0,5.0,21.696419404652044
-8.0,-60.0,5.0,21.68515950487091
8.0,-60.0,5.0,21.644166381261137
12.0,-60.0,5.0,21.616243986021363
16.0,-60.0,5.0,21.601277694768864
20.0,-60.0,5.0,21.589770468674544
24.0,-60.0,5.0,21.581301382642273
28.0,-60.0,5.0,21.573719150771137
32.0,-60.0,5.0,21.563442846271137
36.0,-60.0,5.0,21.54737891383318
40.0,-60.0,5.0,21.53070228460932
-60.0,-56.0,5.0,22.03133958350341
-56.0,-56.0,5.0,21.992676617131817
-52.0,-56.0,5.0,21.961946260768183
-48.0,-56.0,5.0,21.926037491726138
-44.0,-56.0,5.0,21.89854614731477
-40.0,-56.0,5.0,21.87194020303409
-36.0,-56.0,5.0,21.845141343295456
-32.0,-56.0,5.0,21.8224768610625
-28.0,-56.0,5.0,21.799797411921137
-24.0,-56.0,5.0,21.777487558917045
-20.0,-56.0,5.0,21.756973919774545
-16.0,-56.0,5.0,21.738938080608637
-12.0,-56.0,5.0,21.72083513516159
-8.0,-56.0,5.0,21.702511317211137
-4.0,-56.0,5.0,21.698894185189772
0.0,-56.0,5.0,21.684173136931136
4.0,-56.0,5.0,21.66647664713
8.0,-56.0,5.0,21.6452885517575
12.0,-56.0,5.0,21.6342724749375
16.0,-56.0,5.0,21.62246921947159
20.0,-56.0,5.0,21.61234762130341
24.0,-56.0,5.0,21.6051170666275
28.0,-56.0,5.0,21.597523969913183
32.0,-56.0,5.0,21.583477037046592
36.0,-56.0,5.0,21.56895000364841
40.0,-56.0,5.0,21.552182017981362
-60.0,-52.0,5.0,22.092929172475
-56.0,-52.0,5.0,22.05359828112159
-52.0,-52.0,5.0,22.0156369724375
-48.0,-52.0,5.0,21.977509721586365
-44.0,-52.0,5.0,21.949445563269318
-40.0,-52.0,5.0,21.916476112817044
-36.0,-52.0,5.0,21.8891870649375
-32.0,-52.0,5.0,21.86376767175682
-28.0,-52.0,5.0,21.83539110023409
-24.0,-52.0,5.0,21.81517610615
-20.0,-52.0,5.0,21.79043909958682
-16.0,-52.0,5.0,21.770454670325453
-12.0,-52.0,5.0,21.7509381392625
-8.0,-52.0,5.0,21.730828390001818
-4.0,-52.0,5.0,21.71604980571409
0.0,-52.0,5.0,21.700727426058865
4.0,-52.0,5.0,21.685991870017045
8.0,-52.0,5.0,21.672920890152955
12.0,-52.0,5.0,21.660064935943637
16.0,-52.0,5.0,21.647170920837954
20.0,-52.0,5.0,21.63435545238068
24.0,-52.0,5.0,21.627961084267046
28.0,-52.0,5.0,21.623491398730454
32.0,-52.0,5.0,21.608281219806592
36.0,-52.0,5.0,21.587536519838864
40.0,-52.0,5.0,21.56879452124091
-60.0,-48.0,5.0,22.160789981567046
-56.0,-48.0,5.0,22.120230253736363
-52.0,-48.0,5.0,22.077615517339773
-48.0,-48.0,5.0,22.03374680944659
-44.0,-48.0,5.0,22.001848906839772
-40.0,-48.0,5.0,21.964541153052274
-36.0,-48.0,5.0,21.935319916832956
-32.0,-48.0,5.0,21.9074830249625
-28.0,-48.0,5.0,21.87869538681591
-24.0,-48.0,5.0,21.853396154919317
-20.0,-48.0,5.0,21.827277326455683
-16.0,-48.0,5.0,21.80417281027841
-12.0,-48.0,5.0,21.786719942805682
-8.0,-48.0,5.0,21.763213719636138
-4.0,-48.0,5.0,21.745481110197726
0.0,-48.0,5.0,21.728258823170453
4.0,-48.0,5.0,21.71241602722341
8.0,-48.0,5.0,21.69886231922023
12.0,-48.0,5.0,21.682938555919772
16.0,-48.0,5.0,21.66851399304773
20.0,-48.0,5.0,21.659505017476135
24.0,-48.0,5.0,21.655190487327726
28.0,-48.0,5.0,21.649513290837728
32.0,-48.0,5.0,21.63358532143932
36.0,-48.0,5.0,21.611772378762044
40.0,-48.0,5.0,21.59141286938682
-60.0,-44.0,5.0,22.233896236411365
-56.0,-44.0,5.0,22.192518084744318
-52.0,-44.0,5.0,22.144486541147728
-48.0,-44.0,5.0,22.100401748727272
-44.0,-44.0,5.0,22.062442081320455
-40.0,-44.0,5.0,22.024775096322728
-36.0,-44.0,5.0,21.989421182304547
-32.0,-44.0,5.0,21.954787727210228
-28.0,-44.0,5.0,21.925205526795455
-24.0,-44.0,5.0,21.89594823275682
-20.0,-44.0,5.0,21.86898192294773
-16.0,-44.0,5.0,21.845057532939773
-12.0,-44.0,5.0,21.819956718501135
-8.0,-44.0,5.0,21.79804188539091
-4.0,-44.0,5.0,21.780599521704545
0.0,-44.0,5.0,21.763142750053408
4.0,-44.0,5.0,21.743975948001363
8.0,-44.0,5.0,21.726298135542955
12.0,-44.0,5.0,21.71114475960818
16.0,-44.0,5.0,21.69589597073182
20.0,-44.0,5.0,21.683758117800227
24.0,-44.0,5.0,21.686555346721363
28.0,-44.0,5.0,21.67517572991591
32.0,-44.0,5.0,21.658149917560227
36.0,-44.0,5.0,21.636129500021593
40.0,-44.0,5.0,21.614438037985227
-60.0,-40.0,5.0,22.330377054777273
-56.0,-40.0,5.0,22.27468628686477
-52.0,-40.0,5.0,22.223526276357955
-48.0,-40.0,5.0,22.17351582995341
-44.0,-40.0,5.0,22.128349390723862
-40.0,-40.0,5.0,22.086860813118182
-36.0,-40.0,5.0,22.048341100410227
-32.0,-40.0,5.0,22.007657981567046
-28.0,-40.0,5.0,21.980934056764774
-24.0,-40.0,5.0,21.944281867184092
-20.0,-40.0,5.0,21.916248550206817
-16.0,-40.0,5.0,21.890549248606817
-12.0,-40.0,5.0,21.862380480563637
-8.0,-40.0,5.0,21.840203459852273
-4.0,-40.0,5.0,21.817354453244317
0.0,-40.0,5.0,21.79763084555
4.0,-40.0,5.0,21.778472802911363
