x,y,z,Cmoy
-60.0,-60.0,5.0,14.748239992192756
-56.0,-60.0,5.0,14.721081617231874
-52.0,-60.0,5.0,14.698865342065142
-48.0,-60.0,5.0,14.677500078890596
-44.0,-60.0,5.0,14.657185327853721
-40.0,-60.0,5.0,14.638502051704148
-36.0,-60.0,5.0,14.6185358329027
-32.0,-60.0,5.0,14.60269578731588
-28.0,-60.0,5.0,14.588771545880398
-24.0,-60.0,5.0,14.572180260726194
-20.0,-60.0,5.0,14.559519171855909
-16.0,-60.0,5.0,14.545623491546932
-12.0,-60.0,5.0,14.534750614286391
-8.0,-60.0,5.0,14.52610461981159
8.0,-60.0,5.0,14.494627757039801
12.0,-60.0,5.0,14.473187346409262
16.0,-60.0,5.0,14.461695372768949
20.0,-60.0,5.0,14.452859467017955
24.0,-60.0,5.0,14.446356418814602
28.0,-60.0,5.0,14.440534347913552
32.0,-60.0,5.0,14.432643614101051
36.0,-60.0,5.0,14.420308808836193
40.0,-60.0,5.0,14.40750353996787
-60.0,-56.0,5.0,14.791921465904403
-56.0,-56.0,5.0,14.762233831011931
-52.0,-56.0,5.0,14.738637307375567
-48.0,-56.0,5.0,14.711064502575427
-44.0,-56.0,5.0,14.689955077402415
-40.0,-56.0,5.0,14.669525513044034
-36.0,-56.0,5.0,14.648947817173296
-32.0,-56.0,5.0,14.631544732601563
-28.0,-56.0,5.0,14.6141301555823
-24.0,-56.0,5.0,14.596999375597017
-20.0,-56.0,5.0,14.581247831255455
-16.0,-56.0,5.0,14.567398883324488
-12.0,-56.0,5.0,14.553498407356221
-8.0,-56.0,5.0,14.53942833285855
-4.0,-56.0,5.0,14.53665089219929
0.0,-56.0,5.0,14.52534723014355
4.0,-56.0,5.0,14.51175885404625
8.0,-56.0,5.0,14.495489423670938
12.0,-56.0,5.0,14.487030650398438
16.0,-56.0,5.0,14.477967436379972
20.0,-56.0,5.0,14.470195494929403
24.0,-56.0,5.0,14.464643461874687
28.0,-56.0,5.0,14.458813048326194
32.0,-56.0,5.0,14.448027010589346
36.0,-56.0,5.0,14.436872324230029
40.0,-56.0,5.0,14.42399690666426
-60.0,-52.0,5.0,14.839213471721875
-56.0,-52.0,5.0,14.809012965861221
-52.0,-52.0,5.0,14.779864103835937
-48.0,-52.0,5.0,14.750587821932386
-44.0,-52.0,5.0,14.72903855751037
-40.0,-52.0,5.0,14.703722729484516
-36.0,-52.0,5.0,14.682768639148437
-32.0,-52.0,5.0,14.663250176527557
-28.0,-52.0,5.0,14.641461023394035
-24.0,-52.0,5.0,14.62593879579375
-20.0,-52.0,5.0,14.606944308611308
-16.0,-52.0,5.0,14.591599121857046
-12.0,-52.0,5.0,14.576613214076563
-8.0,-52.0,5.0,14.561171799465681
-4.0,-52.0,5.0,14.549823957959035
0.0,-52.0,5.0,14.538058559295198
4.0,-52.0,5.0,14.526743757334517
8.0,-52.0,5.0,14.516707112081733
12.0,-52.0,5.0,14.506835575813863
16.0,-52.0,5.0,14.496934814214859
20.0,-52.0,5.0,14.48709436522088
24.0,-52.0,5.0,14.482184403990766
28.0,-52.0,5.0,14.478752324025171
32.0,-52.0,5.0,14.467073079494346
36.0,-52.0,5.0,14.451144113447699
40.0,-52.0,5.0,14.43675293595284
-60.0,-48.0,5.0,14.891320878703267
-56.0,-48.0,5.0,14.860176801976136
-52.0,-48.0,5.0,14.82745477224304
-48.0,-48.0,5.0,14.793769871539347
-44.0,-48.0,5.0,14.76927683918054
-40.0,-48.0,5.0,14.740629813950852
-36.0,-48.0,5.0,14.718192078996733
-32.0,-48.0,5.0,14.696817322739063
-28.0,-48.0,5.0,14.674712529162216
-24.0,-48.0,5.0,14.65528633324162
