x,y,z,D_020,D_040,D_260,D_280,D_300,D_320,D_340,D_360
1,-60,-60,1.5,0.00014588545454545453,6.183840909090908e-05,7.259481818181817e-05,0.0001108836818181818,0.00013980654545454546,0.00020819772727272726,0.0002418740909090909,0.0002129140909090909
2,-56,-60,1.5,0.00014111636363636364,5.747504545454545e-05,7.045736363636364e-05,0.00010909977272727272,0.000137793,0.00020289227272727269,0.00023617590909090906,0.00020493954545454542
3,-52,-60,1.5,0.0001369190909090909,5.3144545454545454e-05,6.836677272727271e-05,0.00010728331818181818,0.00013723663636363635,0.00019912272727272727,0.0002306459090909091,0.00019751772727272726
4,-48,-60,1.5,0.0001336487727272727,4.930195454545454e-05,6.535186363636363e-05,0.00010418195454545456,0.00013709072727272723,0.00019537999999999996,0.0002278290909090909,0.00019073590909090906
5,-44,-60,1.5,0.00012993722727272728,4.588404545454546e-05,6.388813636363636e-05,0.0001026827727272727,0.0001365589090909091,0.00019092045454545452,0.00022189454545454548,0.00018427590909090907
6,-40,-60,1.5,0.00012666472727272725,4.2419181818181816e-05,6.203472727272727e-05,0.00010094077272727272,0.0001345386818181818,0.00018758409090909088,0.00021819772727272723,0.000178645
7,-36,-60,1.5,0.00012337922727272726,3.8796136363636365e-05,5.973890909090909e-05,9.987077272727273e-05,0.00013335261818181817,0.00018437045454545452,0.00021278636363636363,0.00017298499999999996
8,-32,-60,1.5,0.00012016809090909092,3.5949772727272723e-05,5.866227272727273e-05,9.75355e-05,0.00013219434545454542,0.00018091272727272724,0.0002080413636363636,0.00016814136363636363
9,-28,-60,1.5,0.00011717072727272726,3.307718181818182e-05,5.607322727272726e-05,9.561809090909092e-05,0.0001318935545454545,0.00017765454545454545,0.00020538772727272725,0.00016339590909090907
10,-24,-60,1.5,0.00011388272727272725,3.1033590909090904e-05,5.432145454545454e-05,9.436663636363637e-05,0.00012981079090909086,0.00017470454545454544,0.00019961409090909086,0.00015886999999999997
11,-20,-60,1.5,0.00011088068181818181,2.8909136363636366e-05,5.3179181818181815e-05,9.247377272727273e-05,0.00012857481818181817,0.00017280545454545452,0.0001945309090909091,0.00015439045454545454
12,-16,-60,1.5,0.00010659600000000001,2.6895999999999995e-05,5.071572727272726e-05,9.086477272727273e-05,0.00012714594545454547,0.00016839272727272724,0.00018975318181818182,0.0001501972727272727
13,-12,-60,1.5,0.00010230181818181819,2.4729363636363635e-05,4.836118181818182e-05,8.962918181818181e-05,0.00012557672727272725,0.00016582363636363635,0.00018409590909090908,0.00014436545454545453
14,-8,-60,1.5,9.569777272727273e-05,2.1044045454545452e-05,4.500663636363636e-05,8.583627272727271e-05,0.00012378302727272724,0.00016303136363636365,0.00017794045454545457,0.00013963681818181817
18,8,-60,1.5,9.370809090909089e-05,2.0704954545454544e-05,4.464472727272727e-05,8.11625909090909e-05,0.00011854551818181818,0.00015699590909090908,0.00017610772727272726,0.00013587381818181817
19,12,-60,1.5,9.162154545454546e-05,1.9380363636363633e-05,4.450131818181818e-05,8.114545454545454e-05,0.00011920925454545453,0.0001580981818181818,0.00017522909090909088,0.00013185404545454544
20,16,-60,1.5,8.98655909090909e-05,1.6627727272727273e-05,4.416445454545454e-05,8.171095454545454e-05,0.00012147534545454546,0.0001571672727272727,0.00017201090909090908,0.00012860204545454544
21,20,-60,1.5,8.807013636363637e-05,1.1813663636363635e-05,4.4089227272727274e-05,8.188854545454546e-05,0.0001210894090909091,0.00015638590909090907,0.0001690163636363636,0.0001258160909090909
22,24,-60,1.5,8.622690909090909e-05,1.0035318181818181e-05,4.2794727272727275e-05,8.176322727272727e-05,0.0001212444,0.00015619227272727274,0.00016714272727272726,0.00012485522727272725
23,28,-60,1.5,8.388172727272726e-05,8.703586363636363e-06,4.2223636363636366e-05,8.212236363636363e-05,0.0001206580090909091,0.00015615545454545455,0.00016412863636363636,0.00012622831818181817
