x,y,z,D_020,D_040,D_260,D_280,D_300,D_320,D_340,D_360
1041,-60,-60,7,0.00013093254545454544,6.513545454545454e-05,7.055890909090909e-05,0.00010606836363636364,0.00013456355454545454,0.0001893431818181818,0.00022288772727272727,0.00019776227272727269
1042,-56,-60,7,0.00012536836363636364,6.035754545454544e-05,6.885045454545455e-05,0.00010374004545454545,0.00013142738181818182,0.00018315636363636363,0.0002154531818181818,0.00018890499999999998
1043,-52,-60,7,0.00012128622727272728,5.563336363636363e-05,6.577172727272727e-05,0.00010157381818181817,0.00013012404545454547,0.00017982863636363636,0.00021059727272727273,0.00018085454545454542
1044,-48,-60,7,0.00011790572727272726,5.153918181818182e-05,6.292581818181818e-05,9.798763636363636e-05,0.00012901696363636363,0.00017468772727272723,0.0002062063636363636,0.00017362
1045,-44,-60,7,0.00011439727272727273,4.754022727272727e-05,6.157477272727272e-05,9.616677272727271e-05,0.0001277999727272727,0.00017000954545454543,0.00019981636363636363,0.00016715272727272723
1046,-40,-60,7,0.00011036272727272724,4.40795e-05,5.9340636363636365e-05,9.446213636363636e-05,0.0001252557,0.0001675440909090909,0.00019586272727272725,0.00016135954545454546
1047,-36,-60,7,0.00010679545454545454,3.956436363636363e-05,5.6943181818181814e-05,9.286299999999998e-05,0.00012414670909090906,0.00016349136363636363,0.00019040863636363636,0.00015611727272727273
1048,-32,-60,7,0.00010440031818181819,3.676613636363636e-05,5.582918181818182e-05,9.005813636363636e-05,0.00012183769090909092,0.00016014045454545452,0.00018657954545454544,0.00015130454545454546
1049,-28,-60,7,0.00010242622727272725,3.4210272727272724e-05,5.3658909090909085e-05,8.869904545454544e-05,0.00012080233636363635,0.00015816636363636362,0.00018271681818181814,0.00014682772727272727
1050,-24,-60,7,9.983009090909091e-05,3.17555e-05,5.161654545454545e-05,8.74255e-05,0.00011870359090909088,0.0001548481818181818,0.00017717227272727272,0.00014264454545454545
1051,-20,-60,7,9.812418181818179e-05,2.9636954545454542e-05,5.067218181818182e-05,8.51155e-05,0.00011776077272727274,0.00015317090909090908,0.00017351999999999995,0.00013877863636363634
