x,y,z,Cmax
-60,-60,1.5,7.789289965e-05
-56,-60,1.5,7.549380609545452e-05
-52,-60,1.5,7.334217327727272e-05
-48,-60,1.5,7.150059324999999e-05
-44,-60,1.5,6.952687610454545e-05
-40,-60,1.5,6.779961425454544e-05
-36,-60,1.5,6.596988647090908e-05
-32,-60,1.5,6.432496746636363e-05
-28,-60,1.5,6.284954258272726e-05
-24,-60,1.5,6.120771711545453e-05
-20,-60,1.5,5.973055647272727e-05
-16,-60,1.5,5.800160527636363e-05
-12,-60,1.5,5.6160848281818186e-05
-8,-60,1.5,5.386558729818182e-05
8,-60,1.5,5.251188896090908e-05
12,-60,1.5,5.187385272545454e-05
16,-60,1.5,5.1021041516363635e-05
20,-60,1.5,4.996447732454546e-05
24,-60,1.5,4.935474248545454e-05
28,-60,1.5,4.8871146705909086e-05
32,-60,1.5,4.859683813363636e-05
36,-60,1.5,4.730534604681818e-05
40,-60,1.5,4.555261253863636e-05
-60,-56,1.5,8.166514323636362e-05
-56,-56,1.5,7.901518312272727e-05
-52,-56,1.5,7.681002489090908e-05
-48,-56,1.5,7.450587119545454e-05
-44,-56,1.5,7.268086799999999e-05
-40,-56,1.5,7.077025738181817e-05
-36,-56,1.5,6.882165950454545e-05
-32,-56,1.5,6.714436333636363e-05
-28,-56,1.5,6.536470283181817e-05
-24,-56,1.5,6.36701618709091e-05
-20,-56,1.5,6.191720247e-05
-16,-56,1.5,6.027362629636364e-05
-12,-56,1.5,5.8312421650909094e-05
-8,-56,1.5,5.6219843921818175e-05
-4,-56,1.5,5.483916727545454e-05
0,-56,1.5,5.407124267727272e-05
4,-56,1.5,5.314182076363635e-05
8,-56,1.5,5.3202327853636366e-05
12,-56,1.5,5.2961676583636356e-05
16,-56,1.5,5.24393085890909e-05
20,-56,1.5,5.168443212363636e-05
24,-56,1.5,5.1187664614090904e-05
28,-56,1.5,5.0840176712272725e-05
32,-56,1.5,5.0331727921818176e-05
36,-56,1.5,4.8756541113181815e-05
40,-56,1.5,4.6577868175909084e-05
-60,-52,1.5,8.56599963181818e-05
-56,-52,1.5,8.30174689181818e-05
-52,-52,1.5,8.059052051363636e-05
-48,-52,1.5,7.802703527272726e-05
-44,-52,1.5,7.589255478181818e-05
-40,-52,1.5,7.378068722272725e-05
-36,-52,1.5,7.189390642727272e-05
-32,-52,1.5,7.004250092272727e-05
-28,-52,1.5,6.794253704090909e-05
-24,-52,1.5,6.620922876818181e-05
-20,-52,1.5,6.445863379090909e-05
-16,-52,1.5,6.273450943636363e-05
-12,-52,1.5,6.091637692272727e-05
-8,-52,1.5,5.901388116545453e-05
-4,-52,1.5,5.7487444662727273e-05
0,-52,1.5,5.608645123454545e-05
4,-52,1.5,5.546364279818182e-05
8,-52,1.5,5.5110838645454554e-05
12,-52,1.5,5.4605168876363634e-05
16,-52,1.5,5.40664287090909e-05
20,-52,1.5,5.3426143531818185e-05
24,-52,1.5,5.297600524954544e-05
28,-52,1.5,5.270422884136362e-05
32,-52,1.5,5.189287416954546e-05
36,-52,1.5,5.014821153590909e-05
40,-52,1.5,4.7368214641363634e-05
-60,-48,1.5,8.987928880909091e-05
-56,-48,1.5,8.7231635e-05
-52,-48,1.5,8.455260899090908e-05
-48,-48,1.5,8.171818429999998e-05
-44,-48,1.5,7.951127304545454e-05
-40,-48,1.5,7.713765754090908e-05
-36,-48,1.5,7.500028017727272e-05
-32,-48,1.5,7.291801644545454e-05
-28,-48,1.5,7.098443608636364e-05
-24,-48,1.5,6.90410094090909e-05
-20,-48,1.5,6.714346412727271e-05
-16,-48,1.5,6.517144899545455e-05
-12,-48,1.5,6.356526874545455e-05
-8,-48,1.5,6.190360396363635e-05
-4,-48,1.5,6.032099006363636e-05
0,-48,1.5,5.8958501279999986e-05
4,-48,1.5,5.8087422734545456e-05
8,-48,1.5,5.723296382272727e-05
12,-48,1.5,5.641382574545455e-05
16,-48,1.5,5.5862553322727265e-05
20,-48,1.5,5.5524111927272727e-05
24,-48,1.5,5.5207396277272724e-05
28,-48,1.5,5.471020862727273e-05
32,-48,1.5,5.329972795727273e-05
36,-48,1.5,5.152336518590909e-05
40,-48,1.5,4.9911972107727266e-05
-60,-44,1.5,9.451248383181816e-05
-56,-44,1.5,9.170189876818181e-05
-52,-44,1.5,8.862979088181816e-05
-48,-44,1.5,8.605933408636365e-05
-44,-44,1.5,8.346410215454546e-05
-40,-44,1.5,8.102043028636363e-05
-36,-44,1.5,7.853816618636362e-05
-32,-44,1.5,7.637185350454546e-05
-28,-44,1.5,7.414668794090909e-05
-24,-44,1.5,7.209035856363635e-05
-20,-44,1.5,7.00529478090909e-05
-16,-44,1.5,6.81638957e-05
-12,-44,1.5,6.637322846818182e-05
-8,-44,1.5,6.458213349090907e-05
-4,-44,1.5,6.316086078636363e-05
0,-44,1.5,6.184222671818182e-05
4,-44,1.5,6.05570863090909e-05
8,-44,1.5,5.9436426749999994e-05
12,-44,1.5,5.858592742272727e-05
16,-44,1.5,5.775972293636363e-05
20,-44,1.5,5.738776369090908e-05
24,-44,1.5,5.7917908222727264e-05
28,-44,1.5,5.6224988409090905e-05
32,-44,1.5,5.395767078181818e-05
36,-44,1.5,5.305024924818182e-05
40,-44,1.5,5.1545546189999996e-05
-60,-40,1.5,9.955310973181818e-05
-56,-40,1.5,9.650036714999999e-05
-52,-40,1.5,9.337236336818182e-05
