x,y,z,Cmax
-60,-60,12,6.0764552918181824e-05
-56,-60,12,5.831226953909091e-05
-52,-60,12,5.632893662454544e-05
-48,-60,12,5.4457714372727264e-05
-44,-60,12,5.2665256772727265e-05
-40,-60,12,5.110518920181817e-05
-36,-60,12,4.946133078636363e-05
-32,-60,12,4.8194363864545454e-05
-28,-60,12,4.710379235818181e-05
-24,-60,12,4.584916017545453e-05
-20,-60,12,4.494703675090909e-05
-16,-60,12,4.395732480454544e-05
-12,-60,12,4.4749795814545455e-05
-8,-60,12,4.421023935181817e-05
-4,-60,12,4.135586587363636e-05
0,-60,12,4.031400805090909e-05
4,-60,12,3.9306373239999996e-05
8,-60,12,4.017901722272727e-05
12,-60,12,3.934282436136363e-05
16,-60,12,3.671800127954545e-05
20,-60,12,3.590139523590909e-05
24,-60,12,3.5194112293181815e-05
28,-60,12,3.458129073045454e-05
32,-60,12,3.388581746909091e-05
36,-60,12,3.3172783510909087e-05
40,-60,12,3.242307067727272e-05
-60,-56,12,6.457878465545455e-05
-56,-56,12,6.17929286281818e-05
-52,-56,12,5.963868839454545e-05
-48,-56,12,5.721769680909091e-05
-44,-56,12,5.5380614542727255e-05
-40,-56,12,5.3615054508181816e-05
-36,-56,12,5.188183358454545e-05
-32,-56,12,5.047194346272727e-05
-28,-56,12,4.908059998272727e-05
-24,-56,12,4.778017145999999e-05
-20,-56,12,4.665713195272727e-05
-16,-56,12,4.565632179363636e-05
-12,-56,12,4.479568151272727e-05
-8,-56,12,4.577718572272727e-05
-4,-56,12,4.4904975648181815e-05
0,-56,12,4.389643285e-05
4,-56,12,4.2705726979999994e-05
8,-56,12,4.171999885454545e-05
12,-56,12,3.8955131180000004e-05
16,-56,12,3.802962781409091e-05
20,-56,12,3.7244040002272726e-05
24,-56,12,3.65124698690909e-05
28,-56,12,3.580881415363637e-05
32,-56,12,3.5002974214090904e-05
36,-56,12,3.4460895847272726e-05
40,-56,12,3.3730731592727267e-05
-60,-52,12,6.869406079090908e-05
-56,-52,12,6.589557294999999e-05
-52,-52,12,6.324164969636363e-05
-48,-52,12,6.0573856463636365e-05
-44,-52,12,5.862502241181818e-05
-40,-52,12,5.64363548190909e-05
-36,-52,12,5.46448592690909e-05
-32,-52,12,5.302427401272727e-05
-28,-52,12,5.124898659545454e-05
-24,-52,12,4.9985363041818175e-05
-20,-52,12,4.8567220562727266e-05
-16,-52,12,4.7447590300000004e-05
-12,-52,12,4.6441398880909095e-05
-8,-52,12,4.538654714545454e-05
-4,-52,12,4.6593837446363624e-05
0,-52,12,4.555848619545454e-05
4,-52,12,4.437548690454545e-05
8,-52,12,4.2894624145454544e-05
12,-52,12,4.0509805042727266e-05
16,-52,12,3.952780691090908e-05
20,-52,12,3.8514222312727266e-05
24,-52,12,3.777233598954545e-05
28,-52,12,3.7122429593181816e-05
32,-52,12,3.6304466325909084e-05
36,-52,12,3.5575208252727275e-05
40,-52,12,3.61395919740909e-05
-60,-48,12,7.35166884590909e-05
-56,-48,12,7.050400268181817e-05
-52,-48,12,6.746379685e-05
-48,-48,12,6.431836133454544e-05
-44,-48,12,6.205938444181818e-05
-40,-48,12,5.951009586818182e-05
-36,-48,12,5.756355235e-05
-32,-48,12,5.572571677727272e-05
-28,-48,12,5.38757373990909e-05
-24,-48,12,5.2316353349090905e-05
-20,-48,12,5.0744131731818176e-05
-16,-48,12,4.941132021363636e-05
-12,-48,12,4.8400162085454546e-05
-8,-48,12,4.712279542909091e-05
-4,-48,12,4.613008603181818e-05
0,-48,12,4.506062498636363e-05
4,-48,12,4.399233488181818e-05
8,-48,12,4.3075806889999996e-05
12,-48,12,4.196705958363635e-05
16,-48,12,4.089635338454545e-05
20,-48,12,4.0006671978181815e-05
24,-48,12,3.920022478909091e-05
28,-48,12,3.8394411383636356e-05
32,-48,12,3.7723894948636355e-05
36,-48,12,3.698802042363636e-05
40,-48,12,3.778644276136364e-05
-60,-44,12,7.886094927272726e-05
-56,-44,12,7.56531994090909e-05
-52,-44,12,7.203600729999999e-05
-48,-44,12,6.88968802e-05
-44,-44,12,6.617342596818181e-05
-40,-44,12,6.345539592181818e-05
-36,-44,12,6.108973751454546e-05
-32,-44,12,5.871466044818181e-05
-28,-44,12,5.67809344690909e-05
-24,-44,12,5.4955143309999994e-05
-20,-44,12,5.319127180636364e-05
-16,-44,12,5.176478619727272e-05
-12,-44,12,5.029649046818181e-05
-8,-44,12,4.9034835819999995e-05
-4,-44,12,4.8020218081818186e-05
0,-44,12,4.6920316319090914e-05
4,-44,12,4.572651155727273e-05
8,-44,12,4.460871006727271e-05
12,-44,12,4.3655650281818174e-05
16,-44,12,4.264279797727272e-05
20,-44,12,4.248899717454545e-05
24,-44,12,4.247132853272727e-05
28,-44,12,4.1419649367727265e-05
32,-44,12,4.062781839e-05
36,-44,12,3.997058442318182e-05
40,-44,12,3.915801195454546e-05
-60,-40,12,8.628635604999998e-05
-56,-40,12,8.188857810454546e-05
-52,-40,12,7.782893845e-05
-48,-40,12,7.413063832727272e-05
-44,-40,12,7.074901379999998e-05
-40,-40,12,6.766667093181817e-05
-36,-40,12,6.504240581363636e-05
-32,-40,12,6.22245181109091e-05
-28,-40,12,6.034456283727272e-05
-24,-40,12,5.792977831454546e-05
-20,-40,12,5.610994257909089e-05
-16,-40,12,5.4525535990909083e-05
-12,-40,12,5.2809413499999996e-05
-8,-40,12,5.144503126545454e-05
-4,-40,12,5.010253260272727e-05
0,-40,12,4.892783240818182e-05
4,-40,12,4.774252888363636e-05
8,-40,12,4.659277831727272e-05
12,-40,12,4.556359607090909e-05
16,-40,12,4.448220971909091e-05
20,-40,12,4.534735811272727e-05
24,-40,12,4.424446743090909e-05
28,-40,12,4.3235137477272725e-05
32,-40,12,4.230695413318182e-05
36,-40,12,4.153231559545454e-05
40,-40,12,4.087504996136363e-05
-60,-36,12,9.379764022727274e-05
-56,-36,12,8.835413819090909e-05
-52,-36,12,8.401723163636363e-05
-48,-36,12,8.014124245000001e-05
-44,-36,12,7.598836335909091e-05
-40,-36,12,7.261575201363636e-05
-36,-36,12,6.926924866818182e-05
-32,-36,12,6.644146087272727e-05
-28,-36,12,6.418587097727271e-05
-24,-36,12,6.143869544818182e-05
-20,-36,12,5.929349167363636e-05
-16,-36,12,5.738690115727273e-05
-12,-36,12,5.5499796627272725e-05
-8,-36,12,5.3984274013636356e-05
-4,-36,12,5.2479446876363635e-05
0,-36,12,5.118633712272727e-05
4,-36,12,4.9831401090909086e-05
8,-36,12,4.871022789454545e-05
12,-36,12,4.764169758181818e-05
16,-36,12,4.648604537363636e-05
20,-36,12,4.756445944909091e-05
24,-36,12,4.570944208272727e-05
28,-36,12,4.327765274727272e-05
32,-36,12,4.3520050699999995e-05
36,-36,12,4.3202582053636365e-05
40,-36,12,4.26828153e-05
-60,-32,12,0.00010297459939545454
-56,-32,12,9.686241829545453e-05
-52,-32,12,9.183006315454544e-05
-48,-32,12,8.678439308636364e-05
-44,-32,12,8.225349944545454e-05
-40,-32,12,7.867345049090906e-05
-36,-32,12,7.474649245909091e-05
-32,-32,12,7.104315761818182e-05
-28,-32,12,6.825761687727271e-05
-24,-32,12,6.538020481363636e-05
-20,-32,12,6.302246304090909e-05
-16,-32,12,6.050943808636363e-05
-12,-32,12,5.858509063727273e-05
-8,-32,12,5.689205173e-05
-4,-32,12,5.520200386727273e-05
0,-32,12,5.3855926501818176e-05
4,-32,12,5.2300021604545454e-05
8,-32,12,5.1070010964545444e-05
12,-32,12,5.00039672e-05
16,-32,12,4.926499257727273e-05
20,-32,12,4.982526790818181e-05
24,-32,12,4.8410187543636354e-05
28,-32,12,4.520094861545453e-05
32,-32,12,4.602307088636363e-05
36,-32,12,4.510259182909091e-05
40,-32,12,4.4463907390909085e-05
-60,-28,12,0.00011376759788181819
-56,-28,12,0.0001063379015181818
-52,-28,12,0.00010040772892272727
-48,-28,12,9.444557393636363e-05
-44,-28,12,8.967661246818182e-05
-40,-28,12,8.50095136e-05
-36,-28,12,8.041361779999999e-05
-32,-28,12,7.68265646590909e-05
-28,-28,12,7.327442533636363e-05
-24,-28,12,6.998928184090909e-05
-20,-28,12,6.73528682090909e-05
-16,-28,12,6.444942416363636e-05
-12,-28,12,6.237699567272726e-05
-8,-28,12,6.0154635658181806e-05
-4,-28,12,5.817667937454545e-05
0,-28,12,5.6572314174545456e-05
4,-28,12,5.492311150545455e-05
8,-28,12,5.359140436545454e-05
12,-28,12,5.241383892181818e-05
16,-28,12,5.106860318636362e-05
20,-28,12,5.2200463722727266e-05
24,-28,12,5.1015295774545445e-05
28,-28,12,4.9696170596363635e-05
32,-28,12,4.8297811847272726e-05
36,-28,12,4.7064464328181816e-05
40,-28,12,4.609127034363636e-05
-60,-24,12,0.00012824547846363636
-56,-24,12,0.00011801793803636364
-52,-24,12,0.00011126888143636361
-48,-24,12,0.00010393640077272728
-44,-24,12,9.823556588181817e-05
-40,-24,12,9.225729376363635e-05
-36,-24,12,8.78418352681818e-05
-32,-24,12,8.344242668636363e-05
-28,-24,12,7.919423848636362e-05
-24,-24,12,7.522242905909092e-05
-20,-24,12,7.186904666818181e-05
-16,-24,12,6.89379937409091e-05
-12,-24,12,6.640284548181819e-05
-8,-24,12,6.383178741818181e-05
-4,-24,12,6.173273844090909e-05
0,-24,12,5.96588193590909e-05
4,-24,12,5.809165793727272e-05
8,-24,12,5.646668846818182e-05
12,-24,12,5.498931774999998e-05
16,-24,12,5.368874947090907e-05
20,-24,12,5.4339965252727265e-05
24,-24,12,5.355029934545454e-05
28,-24,12,5.20685598390909e-05
32,-24,12,5.047278888454545e-05
36,-24,12,4.925195385545454e-05
40,-24,12,4.794365209818182e-05
-60,-20,12,0.00015075736555454544
-56,-20,12,0.0001381017771272727
-52,-20,12,0.00012269446078181818
-48,-20,12,0.00011522473489090908
-44,-20,12,0.00010854066499999997
-40,-20,12,0.00010132654429545454
-36,-20,12,9.641954693636363e-05
-32,-20,12,9.057320170909092e-05
-28,-20,12,8.594650119090908e-05
-24,-20,12,8.199792760454544e-05
-20,-20,12,7.766071914090908e-05
-16,-20,12,7.425573908181818e-05
-12,-20,12,7.103944933636363e-05
-8,-20,12,6.83151972590909e-05
-4,-20,12,6.595484063181818e-05
0,-20,12,6.335068224999999e-05
4,-20,12,6.154711458636362e-05
8,-20,12,5.9611896413636356e-05
12,-20,12,5.805590985454546e-05
16,-20,12,5.662083664545453e-05
20,-20,12,5.551010627636363e-05
24,-20,12,5.620908270818181e-05
28,-20,12,5.46778991290909e-05
32,-20,12,5.257610205545454e-05
36,-20,12,4.936812364181817e-05
40,-20,12,4.815194775818182e-05
-60,-16,12,0.00017228805773636364
-56,-16,12,0.0001579197751818182
-52,-16,12,0.000144926578
-48,-16,12,0.00013388989149999998
-44,-16,12,0.00012092103145454545
-40,-16,12,0.00011237976872727273
-36,-16,12,0.00010636018690909091
-32,-16,12,0.0001000102413090909
-28,-16,12,9.412437916818182e-05
-24,-16,12,8.956183058181816e-05
-20,-16,12,8.456438006818181e-05
-16,-16,12,8.003625189545455e-05
-12,-16,12,7.65382211181818e-05
-8,-16,12,7.325454939545455e-05
-4,-16,12,7.066268457727271e-05
0,-16,12,6.749199649090908e-05
4,-16,12,6.548545951363637e-05
8,-16,12,6.341144524090908e-05
12,-16,12,6.148288423636363e-05
16,-16,12,6.035792887272727e-05
20,-16,12,6.031426906818181e-05
24,-16,12,5.9399530122727256e-05
28,-16,12,5.75891654590909e-05
32,-16,12,5.3567896913636356e-05
36,-16,12,5.1799343319999996e-05
40,-16,12,5.0632355942727264e-05
-60,-12,12,0.00020603385909999999
-56,-12,12,0.00018565676236363636
-52,-12,12,0.0001676364840909091
-48,-12,12,0.00015424977565454544
-44,-12,12,0.00014294111153636364
-40,-12,12,0.00012691325499090907
-36,-12,12,0.00011800449694545453
-32,-12,12,0.00011047303865454545
-28,-12,12,0.00010385158952727271
-24,-12,12,9.75653719772727e-05
-20,-12,12,9.268422368636363e-05
-16,-12,12,8.79006135090909e-05
-12,-12,12,8.327974308181819e-05
-8,-12,12,7.935442113181819e-05
-4,-12,12,7.599397411363635e-05
0,-12,12,7.274651551818181e-05
4,-12,12,7.017667162727273e-05
8,-12,12,6.75386305090909e-05
12,-12,12,6.534465602272726e-05
16,-12,12,6.582655494545454e-05
20,-12,12,6.387583192272726e-05
24,-12,12,6.26423777590909e-05
28,-12,12,6.059345009545454e-05
32,-12,12,5.908900342272727e-05
36,-12,12,5.4728437427272716e-05
40,-12,12,5.330355742272726e-05
-60,-8,12,0.0002445678691909091
-56,-8,12,0.0002181061056181818
-52,-8,12,0.00019571252992727273
-48,-8,12,0.00017925975436363634
-44,-8,12,0.00016307093525454544
-40,-8,12,0.00015076265829999997
-36,-8,12,0.0001394641706181818
-32,-8,12,0.00012287326754545453
-28,-8,12,0.00011594099726363635
-24,-8,12,0.00010801848701818181
-20,-8,12,0.00010225881822272727
-16,-8,12,9.61157107e-05
-12,-8,12,9.099333551363637e-05
-8,-8,12,8.656496817727271e-05
-4,-8,12,8.232744063636363e-05
0,-8,12,7.824914670909091e-05
4,-8,12,7.533662341818181e-05
8,-8,12,7.268078428636362e-05
12,-8,12,7.074582579090908e-05
16,-8,12,7.031337302272727e-05
20,-8,12,6.771870037727272e-05
24,-8,12,6.610264166363635e-05
28,-8,12,6.422836106363636e-05
32,-8,12,6.237708123636363e-05
36,-8,12,6.065831562272726e-05
40,-8,12,5.8883829927272724e-05
-60,-4,12,0.0002496389018
-56,-4,12,0.00025526341977272725
-52,-4,12,0.00023646304148181819
-48,-4,12,0.00021423106154545453
-44,-4,12,0.0001926384481181818
-40,-4,12,0.00017610666348181816
-36,-4,12,0.0001593107966818182
-32,-4,12,0.0001478699814272727
-28,-4,12,0.00013637611325454543
-24,-4,12,0.00012016742718181816
-20,-4,12,0.00011330843845454546
-16,-4,12,0.00010642129682272726
-12,-4,12,0.00010044404160454544
-8,-4,12,9.48113598181818e-05
-4,-4,12,9.019912393181817e-05
0,-4,12,8.538121310454545e-05
4,-4,12,8.196358189090909e-05
8,-4,12,7.845402988181818e-05
12,-4,12,7.472268235e-05
16,-4,12,7.235396176818181e-05
20,-4,12,6.976579229545454e-05
24,-4,12,6.73828501590909e-05
28,-4,12,6.673272264999999e-05
32,-4,12,6.575283092272727e-05
36,-4,12,6.386604902272726e-05
40,-4,12,6.223141494545454e-05
-60,0,12,0.00027950105509090903
-56,0,12,0.0002613972365636363
-52,0,12,0.0002664462388272727
-48,0,12,0.00025244536534545453
-44,0,12,0.00023004982559090905
-40,0,12,0.00020639142950000001
-36,0,12,0.0001891658292727273
-32,0,12,0.00017167999903636364
-28,0,12,0.0001553536336909091
-24,0,12,0.00014449639683636364
-20,0,12,0.00013468694557272726
-16,0,12,0.0001185825540181818
-12,0,12,0.00011178307371818181
-8,0,12,0.0001050257213
-4,0,12,9.98768554909091e-05
0,0,12,9.327072535e-05
4,0,12,9.136042108636362e-05
8,0,12,8.749270927272726e-05
12,0,12,8.122082622272725e-05
16,0,12,7.793450251363635e-05
20,0,12,7.464372610909089e-05
24,0,12,7.192901494090907e-05
28,0,12,6.962343504999999e-05
32,0,12,6.769768285454545e-05
36,0,12,6.687260070454545e-05
40,0,12,6.521242292272727e-05
-60,4,12,0.00030893908683636356
-56,4,12,0.00028978466086363635
-52,4,12,0.0002744593463545455
-48,4,12,0.00025716325448181814
-44,4,12,0.00027278378268181814
-40,4,12,0.0002482248859090909
-36,4,12,0.00022616793604545452
-32,4,12,0.00020797247305454544
-28,4,12,0.0001867608939454545
-24,4,12,0.0001685065364818182
-20,4,12,0.00015435360679090908
-16,4,12,0.00014196604190909088
-12,4,12,0.00013421061991818181
-8,4,12,0.00011945462290909091
-4,4,12,0.00011095192773181815
0,4,12,0.00010450160533636363
4,4,12,0.00010428604589090908
8,4,12,9.9472093e-05
12,4,12,9.397967328636364e-05
16,4,12,8.727206979545453e-05
20,4,12,8.160545687727272e-05
24,4,12,7.847889609999999e-05
28,4,12,7.525736090454545e-05
32,4,12,7.204799288181817e-05
36,4,12,7.026554724999999e-05
40,4,12,6.778438320454545e-05
-60,8,12,0.0003501823342545454
-56,8,12,0.0003261878277727272
-52,8,12,0.00030365263508181815
-48,8,12,0.0002849505201454545
-44,8,12,0.00027027726906363636
-40,8,12,0.00025307639859090906
-36,8,12,0.0002663186184545454
-32,8,12,0.0002454768761363636
-28,8,12,0.0002234681136363636
-24,8,12,0.00020226807026363632
-20,8,12,0.00018308007059999998
-16,8,12,0.00016586761238181818
-12,8,12,0.00015200176481818182
-8,8,12,0.0001409982249090909
-4,8,12,0.00013237126332727272
0,8,12,0.00012424954957272727
4,8,12,0.00011694821874090909
8,8,12,0.00010897656890454546
12,8,12,9.795121109090909e-05
16,8,12,9.300152563181817e-05
20,8,12,8.870315781818182e-05
24,8,12,8.492723747272727e-05
28,8,12,8.077084713181817e-05
32,8,12,7.771383467272725e-05
36,8,12,7.514189826363634e-05
40,8,12,7.217702794545453e-05
-60,12,12,0.0004069592814545454
-56,12,12,0.0003747131894090909
-52,12,12,0.0003419078368818182
-48,12,12,0.00031978330703636364
-44,12,12,0.00029883467847272727
-40,12,12,0.00028278280473636357
-36,12,12,0.0002684625238363636
-32,12,12,0.0002507451683181818
-28,12,12,0.00025910363208181815
-24,12,12,0.00024273184658181817
-20,12,12,0.0002214868424272727
-16,12,12,0.00020076205129999997
-12,12,12,0.00018109769137272726
-8,12,12,0.00016380876103636358
-4,12,12,0.00015097927831818182
0,12,12,0.00013983117080909092
4,12,12,0.00013088046808181817
8,12,12,0.0001228977876
12,12,12,0.00011288354323636363
16,12,12,0.00010309679004545453
20,12,12,9.817109860909091e-05
24,12,12,9.316297610454544e-05
28,12,12,8.895622988636364e-05
32,12,12,8.522869697272726e-05
36,12,12,8.155108996363635e-05
40,12,12,7.836691016363635e-05
-60,16,12,0.0004437745873818182
-56,16,12,0.0004270970146
-52,16,12,0.00039392852257272716
-48,16,12,0.00036823045018181814
-44,16,12,0.0003369273129454545
-40,16,12,0.00031277811012727264
-36,16,12,0.0002968517925909091
-32,16,12,0.0002797097212545454
-28,16,12,0.0002648117975818182
-24,16,12,0.00024941891963636365
-20,16,12,0.0002606278328181818
-16,16,12,0.0002414013194090909
-12,16,12,0.00021968213027272727
-8,16,12,0.00019806131215454543
-4,16,12,0.00017967484230909089
0,16,12,0.00016388921063636365
4,16,12,0.00014973177568181818
8,16,12,0.00014052748481818182
12,16,12,0.00013092082059090908
16,16,12,0.0001228790123681818
20,16,12,0.00011274593469999998
24,16,12,0.00010326340954545455
28,16,12,9.884223360909092e-05
32,16,12,9.403786265454545e-05
36,16,12,8.936806430454546e-05
40,16,12,8.648888741363634e-05
