x,y,z,D_020,D_040,D_260,D_280,D_300,D_320,D_340,D_360
-60,-60,1.5,8.206056818181817e-05,3.091920454545454e-05,4.537176136363636e-05,6.930230113636363e-05,6.116536363636364e-05,8.327909090909091e-05,9.826134943181818e-05,8.516563636363638e-05
-56,-60,1.5,7.937795454545454e-05,2.8737522727272725e-05,4.4035852272727274e-05,6.818735795454544e-05,6.0284437499999994e-05,8.115690909090909e-05,9.59464630681818e-05,8.197581818181817e-05
-52,-60,1.5,7.701698863636363e-05,2.6572272727272727e-05,4.272923295454545e-05,6.705207386363637e-05,6.00410284090909e-05,7.96490909090909e-05,9.369990056818182e-05,7.900709090909091e-05
-48,-60,1.5,7.51774346590909e-05,2.465097727272727e-05,4.084491477272727e-05,6.51137215909091e-05,5.997719318181816e-05,7.815199999999999e-05,9.255556818181817e-05,7.629436363636363e-05
-44,-60,1.5,7.308969034090909e-05,2.294202272727273e-05,3.993008522727273e-05,6.417673295454544e-05,5.974452272727274e-05,7.636818181818182e-05,9.01446590909091e-05,7.371036363636364e-05
-40,-60,1.5,7.124890909090907e-05,2.1209590909090908e-05,3.877170454545454e-05,6.308798295454545e-05,5.8860673295454535e-05,7.503363636363636e-05,8.864282670454543e-05,7.1458e-05
-36,-60,1.5,6.940081534090908e-05,1.9398068181818182e-05,3.733681818181818e-05,6.241923295454545e-05,5.834177045454545e-05,7.374818181818182e-05,8.644446022727273e-05,6.919399999999999e-05
-32,-60,1.5,6.759455113636364e-05,1.7974886363636362e-05,3.666392045454546e-05,6.09596875e-05,5.7835026136363626e-05,7.23650909090909e-05,8.451680397727271e-05,6.725654545454546e-05
-28,-60,1.5,6.590853409090908e-05,1.653859090909091e-05,3.504576704545454e-05,5.976130681818182e-05,5.770343011363635e-05,7.106181818181818e-05,8.343876420454544e-05,6.535836363636364e-05
-24,-60,1.5,6.405903409090908e-05,1.5516795454545452e-05,3.395090909090909e-05,5.8979147727272735e-05,5.679222102272725e-05,6.988181818181817e-05,8.109322443181816e-05,6.3548e-05
-20,-60,1.5,6.237038352272726e-05,1.4454568181818183e-05,3.323698863636364e-05,5.7796107954545457e-05,5.625148295454545e-05,6.912218181818181e-05,7.902818181818182e-05,6.175618181818182e-05
-16,-60,1.5,5.9960250000000006e-05,1.3447999999999997e-05,3.169732954545454e-05,5.679048295454546e-05,5.5626351136363644e-05,6.73570909090909e-05,7.708723011363636e-05,6.007890909090908e-05
-12,-60,1.5,5.754477272727273e-05,1.2364681818181818e-05,3.0225738636363637e-05,5.601823863636363e-05,5.493981818181817e-05,6.632945454545455e-05,7.478896306818182e-05,5.774618181818181e-05
-8,-60,1.5,5.382999715909091e-05,1.0522022727272726e-05,2.8129147727272727e-05,5.364767045454545e-05,5.415507443181817e-05,6.521254545454546e-05,7.228830965909093e-05,5.585472727272727e-05
8,-60,1.5,5.2710801136363624e-05,1.0352477272727272e-05,2.7902954545454545e-05,5.072661931818181e-05,5.186366420454546e-05,6.279836363636363e-05,7.154376420454545e-05,5.4349527272727274e-05
12,-60,1.5,5.153711931818182e-05,9.690181818181816e-06,2.781332386363636e-05,5.071590909090908e-05,5.215404886363636e-05,6.323927272727273e-05,7.118681818181817e-05,5.274161818181818e-05
16,-60,1.5,5.054939488636363e-05,8.313863636363636e-06,2.7602784090909087e-05,5.1069346590909085e-05,5.314546363636364e-05,6.286690909090908e-05,6.987943181818181e-05,5.1440818181818177e-05
20,-60,1.5,4.953945170454546e-05,5.906831818181817e-06,2.7555767045454547e-05,5.1180340909090916e-05,5.297661647727273e-05,6.255436363636363e-05,6.866289772727272e-05,5.0326436363636365e-05
24,-60,1.5,4.8502636363636364e-05,5.017659090909091e-06,2.6746704545454547e-05,5.1102017045454545e-05,5.3044425e-05,6.24769090909091e-05,6.790173295454544e-05,4.99420909090909e-05
28,-60,1.5,4.7183471590909083e-05,4.3517931818181814e-06,2.6389772727272727e-05,5.132647727272727e-05,5.2787878977272736e-05,6.246218181818182e-05,6.667725852272727e-05,5.049132727272727e-05
32,-60,1.5,4.57932784090909e-05,4.1208863636363636e-06,2.605829545454545e-05,5.109769886363636e-05,5.258703068181817e-05,6.222872727272727e-05,6.486630681818181e-05,5.252690909090909e-05
36,-60,1.5,4.2117903409090906e-05,4.230565909090908e-06,2.5504005681818184e-05,5.129582386363636e-05,5.242169147727272e-05,6.209127272727273e-05,6.167761363636363e-05,5.244743636363637e-05
40,-60,1.5,3.8748196022727275e-05,4.069315909090908e-06,2.5469488636363637e-05,5.1227556818181816e-05,5.242589147727273e-05,6.005581818181817e-05,5.946539772727272e-05,5.014936363636364e-05
-60,-56,1.5,8.564548295454544e-05,3.3952977272727264e-05,4.899355113636362e-05,7.345741477272726e-05,6.56414659090909e-05,8.641963636363637e-05,0.00010215913352272727,8.837072727272728e-05
-56,-56,1.5,8.327710227272728e-05,3.069665909090909e-05,4.7669772727272726e-05,7.224258522727272e-05,6.462785795454545e-05,8.421963636363636e-05,9.944095170454544e-05,8.499545454545453e-05
-52,-56,1.5,8.069982954545454e-05,2.8726477272727273e-05,4.603883522727272e-05,7.121303977272728e-05,6.429889772727271e-05,8.2584e-05,9.761670454545454e-05,8.162890909090909e-05
-48,-56,1.5,7.796838068181818e-05,2.6671522727272728e-05,4.445522727272727e-05,6.948102272727272e-05,6.332645454545454e-05,8.098145454545456e-05,9.512140624999999e-05,7.900672727272728e-05
-44,-56,1.5,7.610676136363635e-05,2.472727272727273e-05,4.3412329545454534e-05,6.847312499999998e-05,6.298257954545454e-05,7.946963636363635e-05,9.349566761363636e-05,7.638418181818181e-05
-40,-56,1.5,7.401183238636365e-05,2.2937249999999998e-05,4.1497499999999994e-05,6.695264204545454e-05,6.228576136363635e-05,7.805654545454546e-05,9.187528409090908e-05,7.398090909090908e-05
-36,-56,1.5,7.270435227272728e-05,2.1028431818181814e-05,4.032124999999999e-05,6.549977272727272e-05,6.163380681818181e-05,7.629072727272727e-05,8.938829545454545e-05,7.148363636363637e-05
-32,-56,1.5,7.05410028409091e-05,1.9507022727272722e-05,3.926068181818182e-05,6.455502840909091e-05,6.0966698863636346e-05,7.492909090909091e-05,8.772211647727273e-05,6.958018181818182e-05
