x,y,z,D_020,D_040,D_260,D_280,D_300,D_320,D_340,D_360
-60,-60,12,5.972954829545454e-05,3.129822727272727e-05,4.0412414772727264e-05,5.7914147727272724e-05,5.0223946022727274e-05,6.025054545454545e-05,7.391238636363635e-05,6.586181818181818e-05
-56,-60,12,5.7140386363636355e-05,2.900338636363636e-05,3.9421590909090906e-05,5.659840909090907e-05,4.895954318181818e-05,5.815436363636363e-05,7.141431818181816e-05,6.266e-05
-52,-60,12,5.518076420454546e-05,2.670756818181818e-05,3.765144886363636e-05,5.53906534090909e-05,4.842318409090908e-05,5.704e-05,6.978950284090908e-05,5.979236363636363e-05
-48,-60,12,5.357948011363635e-05,2.471538636363636e-05,3.602272727272727e-05,5.342392045454546e-05,4.79430596590909e-05,5.5420181818181816e-05,6.829007102272728e-05,5.7261818181818174e-05
-44,-60,12,5.189591761363636e-05,2.275415909090909e-05,3.5254772727272724e-05,5.243068181818181e-05,4.743279545454545e-05,5.401410909090908e-05,6.61129403409091e-05,5.504927272727272e-05
-40,-60,12,5.005810227272726e-05,2.1057795454545455e-05,3.398357954545454e-05,5.151625e-05,4.642245681818181e-05,5.3339872727272725e-05,6.474387784090908e-05,5.311378181818182e-05
-36,-60,12,4.849790624999999e-05,1.8830136363636363e-05,3.2628039772727267e-05,5.0669630681818184e-05,4.596577840909091e-05,5.220427272727272e-05,6.290965909090909e-05,5.140083636363636e-05
-32,-60,12,4.750171875e-05,1.7451795454545453e-05,3.201122159090909e-05,4.919008522727273e-05,4.5072467045454535e-05,5.1358872727272725e-05,6.159599431818181e-05,4.985414545454545e-05
-28,-60,12,4.6743340909090904e-05,1.6181749999999998e-05,3.0798607954545456e-05,4.8508238636363644e-05,4.4664888068181816e-05,5.090587272727273e-05,6.0284730113636366e-05,4.842936363636363e-05
-24,-60,12,4.581306818181818e-05,1.4943181818181817e-05,2.966889204545454e-05,4.7892755681818175e-05,4.3896813068181814e-05,5.005758181818181e-05,5.8480056818181815e-05,4.710263636363636e-05
-20,-60,12,4.530415909090909e-05,1.3854727272727272e-05,2.9181562499999993e-05,4.674261363636363e-05,4.3570251136363635e-05,4.972367272727273e-05,5.732427556818181e-05,4.586910909090909e-05
-16,-60,12,4.4579428977272725e-05,1.2774681818181815e-05,2.8180142045454542e-05,4.656573863636363e-05,4.298735795454544e-05,4.9093799999999994e-05,5.599897727272727e-05,4.47234909090909e-05
-12,-60,12,4.406382102272727e-05,1.2061613636363636e-05,2.776676136363636e-05,4.764e-05,4.46043221590909e-05,5.10764e-05,5.801157670454545e-05,4.57452e-05
-8,-60,12,4.534258806818181e-05,1.1036454545454543e-05,2.691735795454545e-05,4.6754971590909086e-05,4.408996534090909e-05,5.082496363636363e-05,5.711764204545454e-05,4.455265454545454e-05
-4,-60,12,4.231219602272726e-05,9.807613636363635e-06,2.6091306818181818e-05,4.493582386363636e-05,4.199519147727273e-05,4.772867272727273e-05,5.3119717329545445e-05,4.132667272727273e-05
0,-60,12,4.1418792613636355e-05,8.843522727272727e-06,2.5374857954545456e-05,4.439997159090909e-05,4.119587897727273e-05,4.6866199999999995e-05,5.236802556818182e-05,3.970272727272728e-05
4,-60,12,4.0342448863636365e-05,7.92156818181818e-06,2.4589659090909092e-05,4.331113636363636e-05,4.063843636363636e-05,4.644263636363636e-05,5.1177325284090904e-05,3.8585e-05
8,-60,12,4.1149866477272726e-05,7.273568181818181e-06,2.473400568181818e-05,4.3976619318181815e-05,4.119675e-05,4.758961818181818e-05,5.329346306818182e-05,3.957358181818182e-05
12,-60,12,3.9770437499999994e-05,6.32358409090909e-06,2.3998863636363633e-05,4.3361875e-05,4.0761023863636366e-05,4.762772727272727e-05,5.3144480113636366e-05,3.816187272727273e-05
16,-60,12,3.7030065340909085e-05,5.53668409090909e-06,2.2757443181818178e-05,4.16125e-05,3.871142386363636e-05,4.523263636363636e-05,4.9800008522727274e-05,3.4590945454545456e-05
20,-60,12,3.621932386363636e-05,4.8867068181818174e-06,2.2435113636363636e-05,4.06459375e-05,3.86971534090909e-05,4.500336363636364e-05,4.904298011363637e-05,3.3038945454545455e-05
24,-60,12,3.595530681818181e-05,4.255679545454545e-06,2.1745624999999992e-05,4.036676136363636e-05,3.8527828977272724e-05,4.506009090909091e-05,4.7630836647727264e-05,3.194963636363636e-05
28,-60,12,3.5011610795454546e-05,3.6205022727272723e-06,2.108775568181818e-05,4.02472159090909e-05,3.8658828409090906e-05,4.472332727272727e-05,4.649396448863636e-05,3.1695272727272725e-05
32,-60,12,3.354225852272727e-05,2.9855863636363636e-06,2.0867187499999998e-05,3.97587784090909e-05,3.8548721590909086e-05,4.421203636363637e-05,4.484320454545454e-05,3.2090381818181814e-05
36,-60,12,3.1922821022727266e-05,2.4130909090909093e-06,2.0334772727272725e-05,3.982335227272728e-05,3.862244829545454e-05,4.37525090909091e-05,4.298032670454545e-05,3.251598181818182e-05
40,-60,12,3.0099221590909085e-05,1.936663636363636e-06,1.980338068181818e-05,3.998678977272727e-05,3.843921136363635e-05,4.282458181818182e-05,4.1738346590909075e-05,3.266541818181819e-05
-60,-56,12,6.295860511363637e-05,3.5025749999999996e-05,4.40015625e-05,6.213588068181818e-05,5.492946136363636e-05,6.305618181818182e-05,7.778801136363636e-05,6.916127272727273e-05
-56,-56,12,6.0922073863636355e-05,3.143879545454545e-05,4.285994318181818e-05,6.05950284090909e-05,5.327636761363636e-05,6.0895272727272724e-05,7.476144886363636e-05,6.564236363636362e-05
-52,-56,12,5.868705681818181e-05,2.892288636363636e-05,4.1126221590909087e-05,5.977994318181818e-05,5.248535965909092e-05,5.972872727272727e-05,7.298078125e-05,6.249636363636363e-05
