x,y,z,Cmoy
-60,-60,1.5,3.599941989687499e-05
-56,-60,1.5,3.488596244687499e-05
-52,-60,1.5,3.388327310596591e-05
-48,-60,1.5,3.300441095596591e-05
-44,-60,1.5,3.2096988686079545e-05
-40,-60,1.5,3.1287569150284086e-05
-36,-60,1.5,3.043707497448864e-05
-32,-60,1.5,2.9670368590397725e-05
-28,-60,1.5,2.896430895892045e-05
-24,-60,1.5,2.820406097892045e-05
-20,-60,1.5,2.7516211968465907e-05
-16,-60,1.5,2.6696153450170454e-05
-12,-60,1.5,2.583373406051136e-05
-8,-60,1.5,2.4707808698636362e-05
8,-60,1.5,2.4080144328238637e-05
12,-60,1.5,2.3780000139999997e-05
16,-60,1.5,2.3392161061420452e-05
20,-60,1.5,2.2901996546534092e-05
24,-60,1.5,2.2599193113522726e-05
28,-60,1.5,2.2352493269715908e-05
32,-60,1.5,2.2188063624659088e-05
36,-60,1.5,2.1557424369545456e-05
40,-60,1.5,2.0753696471761363e-05
-60,-56,1.5,3.779462212642045e-05
-56,-56,1.5,3.6570998452556816e-05
-52,-56,1.5,3.553988888693182e-05
-48,-56,1.5,3.4451916526988634e-05
-44,-56,1.5,3.3604164886647724e-05
-40,-56,1.5,3.269500376221591e-05
-36,-56,1.5,3.180389010340909e-05
-32,-56,1.5,3.1012671547159095e-05
-28,-56,1.5,3.018763537982954e-05
-24,-56,1.5,2.938944068784091e-05
-20,-56,1.5,2.8554026914431812e-05
-16,-56,1.5,2.7801014066874998e-05
-12,-56,1.5,2.6867393396988632e-05
-8,-56,1.5,2.5869134415511364e-05
-4,-56,1.5,2.5219272394375e-05
0,-56,1.5,2.4860708547443187e-05
4,-56,1.5,2.4343863147727267e-05
8,-56,1.5,2.4368870287670455e-05
12,-56,1.5,2.428074176715909e-05
16,-56,1.5,2.4061125938352268e-05
20,-56,1.5,2.3716060363352274e-05
24,-56,1.5,2.3471590024375e-05
28,-56,1.5,2.3286867714602272e-05
32,-56,1.5,2.3006015070965905e-05
36,-56,1.5,2.2282964656931816e-05
40,-56,1.5,2.1259671663749996e-05
-60,-52,1.5,3.972493848210227e-05
-56,-52,1.5,3.8475953465909084e-05
-52,-52,1.5,3.7334776898579545e-05
-48,-52,1.5,3.614555441789773e-05
-44,-52,1.5,3.515071262443182e-05
-40,-52,1.5,3.4146392305113635e-05
-36,-52,1.5,3.327326932897727e-05
-32,-52,1.5,3.2398825847727264e-05
-28,-52,1.5,3.141391319943182e-05
-24,-52,1.5,3.060993733920454e-05
-20,-52,1.5,2.978961097698864e-05
-16,-52,1.5,2.897849299318182e-05
-12,-52,1.5,2.8117794874999994e-05
-8,-52,1.5,2.7219447665568177e-05
-4,-52,1.5,2.6486767213238635e-05
0,-52,1.5,2.5802498239829546e-05
4,-52,1.5,2.5485434817386362e-05
8,-52,1.5,2.530836777272728e-05
12,-52,1.5,2.5078943455852267e-05
16,-52,1.5,2.4848115632159087e-05
20,-52,1.5,2.4551044595852272e-05
24,-52,1.5,2.4328680203181816e-05
28,-52,1.5,2.4174190864715904e-05
32,-52,1.5,2.3768974712272727e-05
36,-52,1.5,2.2992471019261364e-05
40,-52,1.5,2.165070427590909e-05
-60,-48,1.5,4.1752134000284084e-05
-56,-48,1.5,4.0499069385795456e-05
-52,-48,1.5,3.923724056676136e-05
-48,-48,1.5,3.7901950232954546e-05
-44,-48,1.5,3.68633339215909e-05
-40,-48,1.5,3.576035863210226e-05
-36,-48,1.5,3.4758008110511355e-05
-32,-48,1.5,3.377846345738636e-05
-28,-48,1.5,3.2872327647159085e-05
-24,-48,1.5,3.196324696022727e-05
-20,-48,1.5,3.107529489403409e-05
-16,-48,1.5,3.015343968863636e-05
-12,-48,1.5,2.939593505625e-05
-8,-48,1.5,2.8606356944034087e-05
-4,-48,1.5,2.7846443880397723e-05
0,-48,1.5,2.7181490029886358e-05
4,-48,1.5,2.6751578352613632e-05
8,-48,1.5,2.6330579461363635e-05
12,-48,1.5,2.594246537443182e-05
16,-48,1.5,2.5695938389772724e-05
20,-48,1.5,2.5557045036647723e-05
24,-48,1.5,2.5395842678124996e-05
