x,y,z,Cmoy
-60,-60,5,3.480186010198863e-05
-56,-60,5,3.353867987124999e-05
-52,-60,5,3.250536474721591e-05
-48,-60,5,3.1511631576306814e-05
-44,-60,5,3.056675943505682e-05
-40,-60,5,2.969776984670454e-05
-36,-60,5,2.8769108507102268e-05
-32,-60,5,2.8032362200738635e-05
-28,-60,5,2.738472306420454e-05
-24,-60,5,2.661303538261364e-05
-20,-60,5,2.602414752818182e-05
-16,-60,5,2.537783681613636e-05
-12,-60,5,2.487212159471591e-05
-8,-60,5,2.4469982316818175e-05
8,-60,5,2.3005942187897726e-05
12,-60,5,2.2008713786477275e-05
16,-60,5,2.147420338460227e-05
20,-60,5,2.106323102409091e-05
24,-60,5,2.0760763665795454e-05
28,-60,5,2.048996967039773e-05
32,-60,5,2.0122958795397726e-05
36,-60,5,1.9549246922613634e-05
40,-60,5,1.895365302176136e-05
-60,-56,5,3.683355655369318e-05
-56,-56,5,3.545273632613636e-05
-52,-56,5,3.435522359886364e-05
-48,-56,5,3.307276756164773e-05
-44,-56,5,3.209093383267045e-05
-40,-56,5,3.1140721536931816e-05
-36,-56,5,3.018361940340909e-05
-32,-56,5,2.9374173609374998e-05
-28,-56,5,2.8564193282897723e-05
-24,-56,5,2.7767412818465915e-05
-20,-56,5,2.7034782849090907e-05
-16,-56,5,2.6390645736022724e-05
-12,-56,5,2.5744111970056812e-05
-8,-56,5,2.508968990039773e-05
-4,-56,5,2.496050661392045e-05
0,-56,5,2.4434754890397727e-05
4,-56,5,2.3802737397499995e-05
8,-56,5,2.3046019705625e-05
12,-56,5,2.2652588390624996e-05
16,-56,5,2.2231043552556812e-05
20,-56,5,2.1869557903693177e-05
24,-56,5,2.1611323808124998e-05
28,-56,5,2.1340141782613637e-05
32,-56,5,2.0838465608806816e-05
36,-56,5,2.0319642987443182e-05
40,-56,5,1.972078635647727e-05
-60,-52,5,3.903318473125e-05
-56,-52,5,3.762851004005681e-05
-52,-52,5,3.6272749015625e-05
-48,-52,5,3.491106148522727e-05
-44,-52,5,3.3908770116761365e-05
-40,-52,5,3.273128974346591e-05
-36,-52,5,3.1756680890624995e-05
-32,-52,5,3.0848845419886366e-05
-28,-52,5,2.983539643693182e-05
-24,-52,5,2.91134323625e-05
-20,-52,5,2.822996784238636e-05
-16,-52,5,2.7516238225909084e-05
-12,-52,5,2.6819219259374995e-05
-8,-52,5,2.6101013928636357e-05
-4,-52,5,2.5573207346931814e-05
0,-52,5,2.502597950210227e-05
4,-52,5,2.4499709643465905e-05
8,-52,5,2.4032888934034092e-05
12,-52,5,2.3573747712272722e-05
16,-52,5,2.3113247172784085e-05
20,-52,5,2.265555187073863e-05
24,-52,5,2.2427181580965908e-05
28,-52,5,2.226754995465909e-05
32,-52,5,2.1724329278806818e-05
36,-52,5,2.0983447137102276e-05
40,-52,5,2.0314090044318182e-05
-60,-48,5,4.1456785055965904e-05
-56,-48,5,4.000822334772727e-05
-52,-48,5,3.848626847642045e-05
-48,-48,5,3.691952890880682e-05
-44,-48,5,3.5780318101420455e-05
-40,-48,5,3.444789832329545e-05
-36,-48,5,3.3404282744034085e-05
-32,-48,5,3.2410108034375e-05
-28,-48,5,3.138197810056818e-05
-24,-48,5,3.047843410426136e-05
-20,-48,5,2.9545618801988636e-05
-16,-48,5,2.8720457509943182e-05
-12,-48,5,2.8097140814488632e-05
-8,-48,5,2.725763284414772e-05
-4,-48,5,2.6624325364204544e-05
0,-48,5,2.600924368465909e-05
4,-48,5,2.5443429543693183e-05
8,-48,5,2.4959368543579548e-05
12,-48,5,2.439066271142045e-05
16,-48,5,2.3875499751704545e-05
20,-48,5,2.3553750624147728e-05
24,-48,5,2.3399660261704544e-05
28,-48,5,2.3196903244204545e-05
32,-48,5,2.262804719426136e-05
36,-48,5,2.1849013527215904e-05
40,-48,5,2.1121888192386362e-05
-60,-44,5,4.406772272897727e-05
-56,-44,5,4.258993159801136e-05
-52,-44,5,4.0874519326704546e-05
-48,-44,5,3.9300062454545455e-05
-44,-44,5,3.7944360047159094e-05
-40,-44,5,3.659911058295454e-05
-36,-44,5,3.533647079659091e-05
-32,-44,5,3.409956168607954e-05
-28,-44,5,3.3043054528409086e-05
-24,-44,5,3.199815116988636e-05
-20,-44,5,3.1035068676704545e-05
-16,-44,5,3.0180626176420454e-05
-12,-44,5,2.928416851789773e-05
-8,-44,5,2.8501495906818177e-05
-4,-44,5,2.787855434659091e-05
